64:1c:37:56:a0:0b	64:1c:a8:8f:59:00	NOTEBOOK	\N	MMCXY	DELL Inspiron 7558	\N	Core i7 7500U	8GB DDR4 2400	HDD 1TB	6
61:10:67:a6:a0:0b	64:32:a8:8f:48:46	NOTEBOOK	\N	3Y903	Lenovo V530S	\N	Core i5 11200	8GB DDR4 2400	HDD 1TB	6
64:1c:37:56:a0:aa	64:32:a8:8f:48:47	NOTEBOOK	\N	715ZZ	DELL Inspiron 7558	\N	Core i7 7500U	8GB DDR4 2400	HDD 1TB	6
10:ec:58:34:ef:01	64:32:a8:8f:48:48	NOTEBOOK	\N	98HDV	DELL Inspiron 7558	\N	Core i7 7500U	8GB DDR4 2400	HDD 1TB	6
10:ec:58:34:ef:02	90:cd:b6:a3:2d:07	NOTEBOOK	\N	KUB4D	Lenovo V530S	\N	Core i3 6006U	8GB DDR4 2400	SSD 240GB	6
10:ec:58:34:ef:03	90:cd:b6:a3:2d:08	NOTEBOOK	\N	FGWJT	HP ProDesk 400 G4	\N	Core i5 11200	32GB DDR4 2400	NVME 480GB	1
10:ec:58:34:ef:04	90:cd:b6:a3:2d:09	NOTEBOOK	\N	5DKSL	HP ProDesk 400 G4	\N	Core i5 11200	32GB DDR4 2400	NVME 480GB	1
10:ec:58:34:ef:05	90:cd:b6:a3:2d:10	NOTEBOOK	\N	ZEJY9	HP ProDesk 400 G4	\N	Core i5 760	6GB DDR4 2666	SSD 240GB	4
10:ec:58:34:ef:06	90:cd:b6:a3:2d:11	NOTEBOOK	\N	WYITH	HP ProDesk 400 G4	\N	Core i3 6006U	12GB DDR4 2666	SSD 240GB	4
10:ec:58:34:ef:07	90:cd:b6:a3:2d:12	NOTEBOOK	\N	PKLRG	HP ProDesk 400 G4	\N	Core i5 760	6GB DDR3 2666	SSD 240GB	5
10:ec:58:34:ef:08	90:cd:b6:a3:2d:13	NOTEBOOK	\N	T4538	DELL Inspiron 7558	\N	Core i3 6006U	12GB DDR4 2666	SSD 240GB	5
10:ec:58:34:ef:09	90:cd:b6:a3:2d:14	NOTEBOOK	\N	VPQHX	Lenovo V530S	\N	Core i7 980	12GB DDR3 2666	SSD 240GB	5
10:ec:58:34:ef:10	90:cd:b6:a3:2d:15	NOTEBOOK	\N	LBH28	DELL Inspiron 7558	\N	Core i3 6006U	12GB DDR4 2666	SSD 240GB	2
10:ec:58:34:ef:11	90:cd:b6:a3:2d:16	NOTEBOOK	\N	UCESG	DELL Inspiron 7558	\N	Pentium G2030	2GB DDR2 2666	HDD 1TB	2
10:ec:58:34:ef:12	90:cd:b6:a3:2d:17	NOTEBOOK	\N	7EK6T	DELL Inspiron 7558	\N	Core i3 6006U	12GB DDR4 2666	HDD 1TB	2
10:ec:58:34:ef:13	90:cd:b6:a3:2d:18	NOTEBOOK	\N	CM6SC	HP ProDesk 400 G4	\N	Core i7 980	12GB DDR3 2666	HDD 1TB	3
10:ec:58:34:ef:14	90:cd:b6:a3:2d:19	NOTEBOOK	\N	ECJBM	HP ProDesk 400 G4	\N	Core i5 11200	32GB DDR4 2400	HDD 1TB	3
10:ec:58:34:ef:15	90:cd:b6:a3:2d:20	NOTEBOOK	\N	E3KP3	HP ProDesk 400 G4	\N	Core i5 760	6GB DDR3 2666	HD 500GB	8
10:ec:58:34:ef:16	90:cd:b6:a3:2d:21	NOTEBOOK	\N	YFVAV	DELL Inspiron 7558	\N	Core i3 6006U	8GB DDR4 2400	HDD 1TB	8
10:ec:58:34:ef:17	90:cd:b6:a3:2d:22	NOTEBOOK	\N	3Y4NG	DELL Inspiron 7558	\N	Core i3 6006U	8GB DDR4 2400	HDD 1TB	8
10:ec:58:34:ef:18	90:cd:b6:a3:2d:23	NOTEBOOK	\N	PPU7A	Lenovo V530S	\N	Core i7 860	6GB DDR3 2666	HD 500GB	8
10:ec:58:34:ef:19	90:cd:b6:a3:2d:24	NOTEBOOK	\N	H3PLQ	DELL Inspiron 7558	\N	Core i3 6006U	8GB DDR4 2400	HDD 1TB	8
10:ec:58:34:ef:20	90:cd:b6:a3:2d:25	NOTEBOOK	\N	75IOT	DELL Inspiron 7558	\N	Core i3 6006U	8GB DDR4 2400	HDD 1TB	8
10:ec:58:34:ef:21	90:cd:b6:a3:2d:26	NOTEBOOK	\N	TVOE6	HP ProDesk 400 G4	\N	Core i5 11200	32GB DDR4 2400	NVME 480GB	1
10:ec:58:34:ef:22	90:cd:b6:a3:2d:27	NOTEBOOK	\N	NON4V	DELL Inspiron 7558	\N	Core i3 6006U	16GB DDR4 2400	HDD 1TB	7
10:ec:58:34:ef:23	90:cd:b6:a3:2d:28	NOTEBOOK	\N	O5X7Y	DELL Inspiron 7558	\N	Core i3 6006U	16GB DDR4 2400	HDD 1TB	7
10:ec:58:34:ef:24	90:cd:b6:a3:2d:29	NOTEBOOK	\N	683FF	Lenovo V530S	\N	Core i5 760	2GB DDR3 2400	HD 500GB	7
10:ec:58:34:ef:25	90:cd:b6:a3:2d:30	NOTEBOOK	\N	2COM6	Lenovo V530S	\N	Core i5 760	2GB DDR3 2400	HD 500GB	6
10:ec:58:34:ef:26	90:cd:b6:a3:2d:31	NOTEBOOK	\N	FW5LF	Lenovo V530S	\N	Core i7 860	4GB DDR3 2400	HD 500GB	6
10:ec:58:34:ef:27	90:cd:b6:a3:2d:32	NOTEBOOK	\N	OXAZD	DELL Inspiron 7558	\N	Core i7 860	4GB DDR3 2400	HD 500GB	6
10:ec:58:34:ef:28	90:cd:b6:a3:2d:33	NOTEBOOK	\N	YZ3JQ	DELL Inspiron 7558	\N	Core i7 860	12GB DDR3 2400	HD 500GB	6
10:ec:58:34:ef:29	90:cd:b6:a3:2d:34	NOTEBOOK	\N	GXQO8	Lenovo V530S	\N	Core i5 650	12GB DDR3 2400	HD 500GB	6
10:ec:58:34:ef:30	90:cd:b6:a3:2d:35	NOTEBOOK	\N	0J621OITLP	Asus X451CA	\N	Core i3 6006U	8GB DDR4 2400	HD 500GB	6
10:ec:58:34:ef:31	90:cd:b6:a3:2d:36	NOTEBOOK	\N	KAR9G8IH35	Asus X451CA	\N	Core i3 6006U	8GB DDR4 2400	HD 500GB	6
10:ec:58:34:ef:32	90:cd:b6:a3:2d:37	NOTEBOOK	\N	RT8L7EV3HU	Asus X451CA	\N	Core i3 6006U	8GB DDR4 2400	HD 500GB	6
10:ec:58:34:ef:33	90:cd:b6:a3:2d:38	NOTEBOOK	\N	8X4Q955GX1	Asus X451CA	\N	Core i3 6006U	8GB DDR4 2400	HD 500GB	6
10:ec:58:34:ef:34	90:cd:b6:a3:2d:39	NOTEBOOK	\N	N1IQ6M87LV	Asus X451CA	\N	Core i3 6006U	8GB DDR4 2400	HD 500GB	6
10:ec:58:34:ef:35	90:cd:b6:a3:2d:40	NOTEBOOK	\N	FER49IPRFS	Asus X451CA	\N	Core i3 6006U	8GB DDR4 2400	HD 500GB	6
10:ec:58:34:ef:36	90:cd:b6:a3:2d:41	NOTEBOOK	\N	RALSN	HP ProDesk 400 G4	\N	Core i3 6006U	8GB DDR4 2400	HD 500GB	2
10:ec:58:34:ef:37	90:cd:b6:a3:2d:42	NOTEBOOK	\N	SEMCJ	HP ProDesk 400 G4	\N	Core i3 6006U	8GB DDR4 2400	HD 500GB	2
